"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Aboshan, Cephalid Emperor","plst","Near Mint","English","","","2025-10-29 13:08:06.133000","ODY-58","False","False",""
"1","1","Abrade","blc","Near Mint","English","","","2025-10-29 13:08:06.133000","191","False","False",""
"5","5","Abrade","inr","Near Mint","English","","","2025-10-29 13:08:06.133000","139","False","False",""
"1","1","Abrade","inr","Near Mint","English","","","2025-10-29 13:08:06.133000","311","False","False",""
"2","2","Abrade","vow","Near Mint","English","foil","","2025-10-29 13:08:06.133000","139","False","False",""
"1","1","Abrade","brc","Near Mint","English","","","2025-10-29 13:08:06.133000","111","False","False",""
"2","2","Abrade","vow","Near Mint","English","","","2025-10-29 13:08:06.133000","139","False","False",""
"1","1","Abrade","sld","Near Mint","English","","","2025-12-13 13:28:42.657000","2179","False","False",""
"6","6","Abrade","tdc","Near Mint","English","","","2025-10-29 13:08:06.133000","203","False","False",""
"1","1","Abrade","scd","Near Mint","English","","","2025-10-29 13:08:06.133000","122","False","False",""
"1","1","Abrade","lci","Near Mint","English","","","2025-10-29 13:08:06.133000","131","False","False",""
"4","4","Abraded Bluffs","otj","Near Mint","English","","","2025-10-29 13:08:06.133000","251","False","False",""
"1","1","Abraded Bluffs","otj","Near Mint","English","foil","","2025-10-29 13:08:06.133000","251","False","False",""
"1","1","Absolute Virtue","fin","Near Mint","English","foil","","2025-10-29 13:08:06.133000","212","False","False",""
"1","1","Absolute Virtue","fin","Near Mint","English","","","2025-10-29 13:08:06.133000","212","False","False",""
"2","2","Absolving Lammasu","mkm","Near Mint","English","","","2025-10-29 13:08:06.133000","2","False","False",""
"1","1","Absorb","rna","Near Mint","English","","","2025-10-29 13:08:06.133000","151","False","False",""
"1","1","Absorb","scd","Near Mint","English","","","2025-10-29 13:08:06.133000","216","False","False",""
"1","1","Abstergo Entertainment","acr","Near Mint","English","","","2025-10-29 13:08:06.133000","79","False","False",""
"1","1","Abstruse Appropriation","mh3","Near Mint","English","","","2025-10-29 13:08:06.133000","342","False","False",""
"1","1","Abuelo, Ancestral Echo","lci","Near Mint","English","","","2025-10-29 13:08:06.133000","219","False","False",""
"1","1","Abuelo's Awakening","lci","Near Mint","English","","","2025-10-29 13:08:06.133000","1","False","False",""
"1","1","Abundance","40k","Near Mint","English","","","2025-11-06 20:49:04.940000","210","False","False",""
"1","1","Abundant Countryside","ecc","Near Mint","English","","","2026-02-02 20:21:09.317000","22","False","False",""
"5","5","Abundant Growth","inr","Near Mint","English","","","2025-10-29 13:08:06.133000","184","False","False",""
"1","1","Abundant Growth","pip","Near Mint","English","","","2025-10-29 13:08:06.133000","194","False","False",""
"2","2","Abundant Growth","inr","Near Mint","English","","","2025-10-29 13:08:06.133000","406","False","False",""
"1","1","Abundant Growth","dmc","Near Mint","English","","","2025-10-29 13:08:06.133000","128","False","False",""
"1","1","Abundant Growth","ecc","Near Mint","English","","","2026-02-02 20:21:09.317000","97","False","False",""
"1","1","Abundant Growth","avr","Near Mint","English","","","2025-10-29 13:08:06.133000","167","False","False",""
"1","1","Abundant Harvest","sta","Near Mint","English","","","2025-10-29 13:08:06.133000","48","False","False",""
"2","2","Abundant Maw","inr","Near Mint","English","foil","","2025-10-29 13:08:06.133000","1","False","False",""
"3","3","Abundant Maw","inr","Near Mint","English","","","2025-10-29 13:08:06.133000","1","False","False",""
"1","1","Abundant Maw","inr","Near Mint","English","","","2025-10-29 13:08:06.133000","329","False","False",""
"2","2","Abyssal Gorestalker","lci","Near Mint","English","","","2025-10-29 13:08:06.133000","87","False","False",""
"3","3","Abyssal Harvester","fdn","Near Mint","English","","","2025-10-29 13:08:06.133000","54","False","False",""
"1","1","Abzan Charm","dmc","Near Mint","English","","","2025-10-29 13:08:06.133000","138","False","False",""
"8","8","Abzan Devotee","tdm","Near Mint","English","","","2025-10-29 13:08:06.133000","68","False","False",""
"1","1","Abzan Falconer","mic","Near Mint","English","","","2025-10-29 13:08:06.133000","77","False","False",""
"2","2","Abzan Monument","tdm","Near Mint","English","","","2025-10-29 13:08:06.133000","238","False","False",""
"2","2","Academic Dispute","stx","Near Mint","English","","","2025-10-29 13:08:06.133000","91","False","False",""
"1","1","Academy Journeymage","plst","Near Mint","English","","","2025-10-29 13:08:06.133000","DOM-41","False","False",""
"1","1","Academy Loremaster","dmu","Near Mint","English","","","2025-10-29 13:08:06.133000","40","False","False",""
"1","1","Academy Manufactor","otc","Near Mint","English","","","2025-10-29 13:08:06.133000","251","False","False",""
"1","1","Academy Manufactor","mkc","Near Mint","English","","","2025-10-29 13:08:06.133000","221","False","False",""
"1","1","Academy Manufactor","sld","Near Mint","English","","","2025-11-24 15:06:51.003000","2195","False","False",""
"1","1","Academy Ruins","drc","Near Mint","English","","","2025-10-29 13:08:06.133000","58","False","False",""
"4","4","Academy Wall","dmu","Near Mint","English","","","2025-10-29 13:08:06.133000","41","False","False",""
"1","1","Access Tunnel","mkc","Near Mint","English","","","2025-10-29 13:08:06.133000","247","False","False",""
"2","2","Access Tunnel","tdc","Near Mint","English","","","2025-10-29 13:08:06.133000","337","False","False",""
"1","1","Access Tunnel","stx","Near Mint","English","","","2025-10-29 13:08:06.133000","262","False","False",""
"1","1","Accomplished Alchemist","stx","Near Mint","English","foil","","2025-10-29 13:08:06.133000","119","False","False",""
"1","1","Accomplished Automaton","kld","Near Mint","English","","","2025-10-29 13:08:06.133000","191","False","False",""
"2","2","Accumulate Wisdom","tla","Near Mint","English","","","2025-11-21 17:06:15.593000","44","False","False",""
"1","1","Accursed Duneyard","drc","Near Mint","English","","","2025-10-29 13:08:06.133000","20","False","False",""
"1","1","Accursed Duneyard","drc","Near Mint","English","","","2025-10-29 13:08:06.133000","36","False","False",""
"8","8","Accursed Marauder","mh3","Near Mint","English","","","2025-10-29 13:08:06.133000","80","False","False",""
"1","1","Ace, Fearless Rebel","who","Near Mint","English","","","2025-10-29 13:08:06.133000","98","False","False",""
"1","1","Acererak the Archlich","afr","Near Mint","English","","","2025-10-29 13:08:06.133000","87","False","False",""
"1","1","Ace's Baseball Bat","who","Near Mint","English","","","2025-10-29 13:08:06.133000","170","False","False",""
"1","1","Achilles Davenport","acr","Near Mint","English","","","2025-10-29 13:08:06.133000","294","False","False",""
"2","2","Acidic Slime","cmm","Near Mint","English","","","2025-10-29 13:08:06.133000","270","False","False",""
"1","1","Acidic Slime","m3c","Near Mint","English","","","2025-10-29 13:08:06.133000","218","False","False",""
"1","1","Acolyte Hybrid","40k","Near Mint","English","","","2025-11-06 20:53:17.537000","70","False","False",""
"4","4","Acolyte of Aclazotz","lci","Near Mint","English","","","2025-10-29 13:08:06.133000","89","False","False",""
"1","1","Acolyte of Aclazotz","lci","Near Mint","English","foil","","2025-10-29 13:08:06.133000","89","False","False",""
"2","2","Acolyte of Bahamut","clb","Near Mint","English","","","2025-10-29 13:08:06.133000","212","False","False",""
"1","1","Acquired Mutation","pip","Near Mint","English","","","2025-10-29 13:08:06.133000","53","False","False",""
"1","1","Acquisition Octopus","neo","Near Mint","English","","","2025-10-29 13:08:06.133000","44","False","False",""
"1","1","Acquisition Octopus","neo","Near Mint","English","foil","","2025-10-29 13:08:06.133000","44","False","False",""
"7","7","Acrobatic Cheerleader","dsk","Near Mint","English","","","2025-10-29 13:08:06.133000","1","False","False",""
"1","1","Acrobatic Cheerleader","dsk","Near Mint","English","foil","","2025-10-29 13:08:06.133000","1","False","False",""
"1","1","Acrobatic Leap","tle","Near Mint","English","","","2025-12-19 17:13:10.923000","151","False","False",""
"5","5","Acrobatic Leap","lci","Near Mint","English","","","2025-10-29 13:08:06.133000","2","False","False",""
"1","1","Act of Treason","rvr","Near Mint","English","","","2025-10-29 13:08:06.133000","99","False","False",""
"1","1","Adagia, Windswept Bastion","eoe","Near Mint","English","foil","","2025-10-29 13:08:06.133000","372","False","False",""
"2","2","Adagia, Windswept Bastion","eoe","Near Mint","English","","","2025-10-29 13:08:06.133000","250","False","False",""
"1","1","Adamant Will","fdn","Near Mint","English","","","2025-10-29 13:08:06.133000","488","False","False",""
"2","2","Adamant Will","vow","Near Mint","English","","","2025-10-29 13:08:06.133000","1","False","False",""
"1","1","Adaptive Gemguard","lci","Near Mint","English","foil","","2025-10-29 13:08:06.133000","3","False","False",""
"6","6","Adaptive Gemguard","lci","Near Mint","English","","","2025-10-29 13:08:06.133000","3","False","False",""
"1","1","Adaptive Omnitool","drc","Near Mint","English","","","2025-10-29 13:08:06.133000","16","False","False",""
"1","1","Adaptive Sporesinger","one","Near Mint","English","foil","","2025-10-29 13:08:06.133000","157","False","False",""
"1","1","Adaptive Sporesinger","one","Near Mint","English","","","2025-10-29 13:08:06.133000","157","False","False",""
"1","1","Adaptive Training Post","tdc","Near Mint","English","","","2025-10-29 13:08:06.133000","18","False","False",""
"1","1","Adarkar Wastes","tdc","Near Mint","English","","","2025-10-29 13:08:06.133000","338","False","False",""
"2","2","Adarkar Wastes","blc","Near Mint","English","","","2025-10-29 13:08:06.133000","291","False","False",""
"1","1","Adarkar Wastes","drc","Near Mint","English","","","2025-10-29 13:08:06.133000","144","False","False",""
"1","1","Adarkar Wastes","dsc","Near Mint","English","","","2025-10-29 13:08:06.133000","258","False","False",""
"1","1","Adarkar Wastes","eoc","Near Mint","English","","","2025-10-29 13:08:06.133000","147","False","False",""
"1","1","Adarkar Wastes","pdmu","Near Mint","English","","","2025-10-29 13:08:06.133000","243p","False","False",""
"7","7","Adelbert Steiner","fin","Near Mint","English","","","2025-10-29 13:08:06.133000","3","False","False",""
"2","2","Adelbert Steiner","fin","Near Mint","English","foil","","2025-10-29 13:08:06.133000","3","False","False",""
"1","1","Adeline, Resplendent Cathar","fca","Near Mint","English","","","2025-10-29 13:08:06.133000","1","False","False",""
"1","1","Adeline, Resplendent Cathar","fca","Near Mint","English","foil","","2025-10-29 13:08:06.133000","1","False","False",""
"1","1","Adeline, Resplendent Cathar","tdc","Near Mint","English","","","2025-10-29 13:08:06.133000","108","False","False",""
"3","3","Adéwalé, Breaker of Chains","acr","Near Mint","English","","","2025-10-29 13:08:06.133000","44","False","False",""
"2","2","Adéwalé, Breaker of Chains","acr","Near Mint","English","foil","","2025-10-29 13:08:06.133000","44","False","False",""
"2","2","Adéwalé, Breaker of Chains","acr","Near Mint","English","","","2025-10-29 13:08:06.133000","136","False","False",""
"1","1","Admiral Beckett Brass","lcc","Near Mint","English","","","2025-10-29 13:08:06.133000","264","False","False",""
"1","1","Admiral Brass, Unsinkable","lcc","Near Mint","English","foil","","2025-10-29 13:08:06.133000","1","False","False",""
"7","7","Adorned Crocodile","tdm","Near Mint","English","","","2025-10-29 13:08:06.133000","69","False","False",""
"1","1","Adorned Crocodile","tdm","Near Mint","English","foil","","2025-10-29 13:08:06.133000","69","False","False",""
"4","4","Adrenaline Jockey","dft","Near Mint","English","","","2025-10-29 13:08:06.133000","112","False","False",""
"2","2","Adrestia","acr","Near Mint","English","foil","","2025-10-29 13:08:06.133000","68","False","False",""
"1","1","Adriana, Captain of the Guard","onc","Near Mint","English","","","2025-10-29 13:08:06.133000","114","False","False",""
"1","1","Adric, Mathematical Genius","who","Near Mint","English","","","2025-10-29 13:08:06.133000","33","False","False",""
"1","1","Adrix and Nev, Twincasters","mkc","Near Mint","English","","","2025-10-29 13:08:06.133000","198","False","False",""
"1","1","Adult Gold Dragon","afr","Near Mint","English","","","2025-10-29 13:08:06.133000","216","False","False",""
"1","1","Adventure Awaits","j25","Near Mint","English","","","2025-10-29 13:08:06.133000","620","False","False",""
"1","1","Adventurer's Airship","fin","Near Mint","English","foil","","2025-10-29 13:08:06.133000","252","False","False",""
"14","14","Adventurer's Airship","fin","Near Mint","English","","","2025-10-29 13:08:06.133000","252","False","False",""
"4","4","Adventurer's Inn","fin","Near Mint","English","foil","","2025-10-29 13:08:06.133000","271","False","False",""
"16","16","Adventurer's Inn","fin","Near Mint","English","","","2025-10-29 13:08:06.133000","271","False","False",""
"2","2","Adventuring Gear","fdn","Near Mint","English","","","2025-10-29 13:08:06.133000","249","False","False",""
"3","3","Adventurous Impulse","j25","Near Mint","English","","","2025-10-29 13:08:06.133000","621","False","False",""
"1","1","Adventurous Impulse","sta","Near Mint","English","","","2025-10-29 13:08:06.133000","49","False","False",""
"2","2","Advocate of the Beast","j25","Near Mint","English","","","2025-10-29 13:08:06.133000","622","False","False",""
"5","5","Aegar, the Freezing Flame","mul","Near Mint","English","","","2025-12-15 15:56:07.187000","31","False","False",""
"1","1","Aegis Angel","m12","Near Mint","English","foil","","2025-10-29 13:08:06.133000","1","False","False",""
"4","4","Aegis Sculptor","tdm","Near Mint","English","","","2025-10-29 13:08:06.133000","35","False","False",""
"9","9","Aegis Turtle","fdn","Near Mint","English","","","2025-10-29 13:08:06.133000","150","False","False",""
"8","8","Aerial Boost","mom","Near Mint","English","","","2025-12-16 00:10:52.887000","2","False","False",""
"1","1","Aerial Extortionist","mkc","Near Mint","English","","","2025-10-29 13:08:06.133000","54","False","False",""
"1","1","Aerial Extortionist","ncc","Near Mint","English","","","2025-10-29 13:08:06.133000","11","False","False",""
"3","3","Aerial Guide","j25","Near Mint","English","","","2025-10-29 13:08:06.133000","282","False","False",""
"1","1","Aerial Responder","kld","Near Mint","English","","","2025-10-29 13:08:06.133000","2","False","False",""
"5","5","Aerialephant","unf","Near Mint","English","","","2025-10-29 13:08:06.133000","2","False","False",""
"5","5","Aerie Auxiliary","mh3","Near Mint","English","","","2025-10-29 13:08:06.133000","18","False","False",""
"1","1","Aerith Gainsborough","fin","Near Mint","English","foil","","2025-10-29 13:08:06.133000","4","False","False",""
"1","1","Aerith Gainsborough","fin","Near Mint","English","foil","","2025-10-29 13:08:06.133000","519","False","False",""
"2","2","Aerith Gainsborough","fin","Near Mint","English","","","2025-10-29 13:08:06.133000","374","False","False",""
"1","1","Aerith Gainsborough","fin","Near Mint","English","","","2025-10-29 13:08:06.133000","423","False","False",""
"2","2","Aerith Gainsborough","fin","Near Mint","English","","","2025-10-29 13:08:06.133000","4","False","False",""
"1","1","Aerith Gainsborough","fin","Near Mint","English","foil","","2025-10-29 13:08:06.133000","423","False","False",""
"1","1","Aerith Gainsborough","fin","Near Mint","English","foil","","2025-10-29 13:11:59.767000","374","False","False",""
"22","22","Aerith Rescue Mission","fin","Near Mint","English","","","2025-10-29 13:08:06.133000","5","False","False",""
"1","1","Aerith Rescue Mission","fin","Near Mint","English","foil","","2025-10-29 13:08:06.133000","5","False","False",""
"1","1","Aerith, Last Ancient","fic","Near Mint","English","","","2025-10-29 13:08:06.133000","163","False","False",""
"1","1","Aerith, Last Ancient","fic","Near Mint","English","","","2025-10-29 13:08:06.133000","76","False","False",""
"1","1","Aeronaut Cavalry","bro","Near Mint","English","","","2025-10-29 13:08:06.133000","1","False","False",""
"1","1","Aeronaut's Wings","bro","Near Mint","English","","","2025-10-29 13:08:06.133000","231","False","False",""
"1","1","Aesi, Tyrant of Gyre Strait","plst","Near Mint","English","","","2025-10-29 13:08:06.133000","CMR-365","False","False",""
"1","1","Aether Channeler","blc","Near Mint","English","","","2025-10-29 13:08:06.133000","160","False","False",""
"1","1","Aether Channeler","dmu","Near Mint","English","","","2025-10-29 13:08:06.133000","42","False","False",""
"1","1","Aether Gale","cmm","Near Mint","English","","","2025-10-29 13:08:06.133000","72","False","False",""
"1","1","Aether Hub","drc","Near Mint","English","","","2025-10-29 13:08:06.133000","145","False","False",""
"1","1","Aether Meltdown","kld","Near Mint","English","","","2025-10-29 13:08:06.133000","36","False","False",""
"1","1","Aether Revolt","mh3","Near Mint","English","foil","","2025-10-29 13:08:06.133000","113","False","False",""
"5","5","Aether Spike","mh3","Near Mint","English","","","2025-10-29 13:08:06.133000","50","False","False",""
"3","3","Aether Syphon","dft","Near Mint","English","","","2025-10-29 13:08:06.133000","38","False","False",""
"1","1","Aether Theorist","kld","Near Mint","English","","","2025-10-29 13:08:06.133000","37","False","False",""
"6","6","Aetherblade Agent // Gitaxian Mindstinger","mom","Near Mint","English","","","2025-12-15 15:47:49.677000","88","False","False",""
"1","1","Aetherborn Marauder","otc","Near Mint","English","","","2025-10-29 13:08:06.133000","125","False","False",""
"1","1","Aetherflux Conduit","drc","Near Mint","English","","","2025-10-29 13:08:06.133000","17","False","False",""
"1","1","Aetherflux Reservoir","brr","Near Mint","English","","","2025-10-29 13:08:06.133000","65","False","False",""
"1","1","Aetheric Amplifier","drc","Near Mint","English","","","2025-10-29 13:08:06.133000","18","False","False",""
"2","2","Aetherize","fdn","Near Mint","English","","","2025-10-29 13:08:06.133000","151","False","False",""
"1","1","Aetherize","40k","Near Mint","English","","","2025-11-06 20:51:17.210000","191","False","False",""
"1","1","Aetherize","scd","Near Mint","English","","","2025-10-29 13:08:06.133000","42","False","False",""
"1","1","Aetherize","lcc","Near Mint","English","","","2025-10-29 13:08:06.133000","142","False","False",""
"1","1","Aetherize","blc","Near Mint","English","","","2025-10-29 13:08:06.133000","161","False","False",""
"8","8","Aetherjacket","dft","Near Mint","English","","","2025-10-29 13:08:06.133000","230","False","False",""
"1","1","Aethersquall Ancient","drc","Near Mint","English","","","2025-10-29 13:08:06.133000","68","False","False",""
"1","1","Aethertide Whale","drc","Near Mint","English","","","2025-10-29 13:08:06.133000","69","False","False",""
"1","1","Aethertorch Renegade","kld","Near Mint","English","","","2025-10-29 13:08:06.133000","106","False","False",""
"1","1","Aetherwind Basker","drc","Near Mint","English","","","2025-10-29 13:08:06.133000","107","False","False",""
"1","1","Aetherworks Marvel","drc","Near Mint","English","","","2025-10-29 13:08:06.133000","123","False","False",""
"1","1","Aettir and Priwen","fin","Near Mint","English","foil","","2025-10-29 13:08:06.133000","253","False","False",""
"2","2","Aettir and Priwen","fin","Near Mint","English","foil","","2025-10-29 13:08:06.133000","350","False","False",""
"3","3","Aettir and Priwen","fin","Near Mint","English","","","2025-10-29 13:08:06.133000","253","False","False",""
"1","1","Affa Protector","ogw","Near Mint","English","","","2025-10-29 13:08:06.133000","14","False","False",""
"4","4","Affectionate Indrik","fdn","Near Mint","English","","","2025-10-29 13:08:06.133000","211","False","False",""
"1","1","Afterlife from the Loam","tdc","Near Mint","English","","","2025-10-29 13:08:06.133000","25","False","False",""
"3","3","Aftermath Analyst","mkm","Near Mint","English","","","2025-10-29 13:08:06.133000","148","False","False",""
"1","1","Aftermath Analyst","eoc","Near Mint","English","","","2025-10-29 13:08:06.133000","91","False","False",""
"1","1","Against All Odds","one","Near Mint","English","","","2025-10-29 13:08:06.133000","1","False","False",""
"1","1","Against All Odds","plst","Near Mint","English","","","2025-10-29 13:08:06.133000","ONE-1","False","False",""
"9","9","Agate Assault","blb","Near Mint","English","","","2025-10-29 13:08:06.133000","122","False","False",""
"1","1","Agate Instigator","blc","Near Mint","English","","","2025-10-29 13:08:06.133000","21","False","False",""
"7","7","Agate-Blade Assassin","blb","Near Mint","English","","","2025-10-29 13:08:06.133000","82","False","False",""
"1","1","Agatha's Champion","woe","Near Mint","English","","","2025-10-29 13:08:06.133000","160","False","False",""
"1","1","Agatha's Soul Cauldron","woe","Near Mint","English","","","2025-10-29 13:08:06.133000","242","False","False",""
"4","4","Ageless Guardian","stx","Near Mint","English","","","2025-10-29 13:08:06.133000","8","False","False",""
"1","1","Agency Coroner","mkm","Near Mint","English","foil","","2025-10-29 13:08:06.133000","75","False","False",""
"5","5","Agency Coroner","mkm","Near Mint","English","","","2025-10-29 13:08:06.133000","75","False","False",""
"3","3","Agency Outfitter","mkm","Near Mint","English","","","2025-10-29 13:08:06.133000","38","False","False",""
"1","1","Agent Frank Horrigan","pip","Near Mint","English","","","2025-10-29 13:08:06.133000","89","False","False",""
"9","9","Agent of Kotis","tdm","Near Mint","English","","","2025-10-29 13:08:06.133000","36","False","False",""
"1","1","Agent of the Iron Throne","clb","Near Mint","English","","","2025-10-29 13:08:06.133000","107","False","False",""
"1","1","Agent Venom","spm","Near Mint","English","","","2025-10-29 13:08:06.133000","49","False","False",""
"1","1","Agent's Toolkit","ncc","Near Mint","English","","","2025-10-29 13:08:06.133000","66","False","False",""
"1","1","Aggressive Biomancy","m3c","Near Mint","English","","","2025-10-29 13:08:06.133000","121","False","False",""
"2","2","Aggressive Instinct","j25","Near Mint","English","","","2025-10-29 13:08:06.133000","623","False","False",""
"1","1","Aggressive Mammoth","fdn","Near Mint","English","","","2025-10-29 13:08:06.133000","551","False","False",""
"1","1","Aggressive Mining","sld","Near Mint","English","","","2025-10-29 13:08:06.133000","2108","False","False",""
"6","6","Aggressive Negotiations","tdm","Near Mint","English","","","2025-10-29 13:08:06.133000","70","False","False",""
"4","4","Aggressive Sabotage","dmu","Near Mint","English","","","2025-10-29 13:08:06.133000","78","False","False",""
"1","1","Agility Bobblehead","pip","Near Mint","English","","","2025-10-29 13:08:06.133000","126","False","False",""
"1","1","Agitator Ant","mkc","Near Mint","English","","","2025-10-29 13:08:06.133000","145","False","False",""
"3","3","Agonizing Remorse","sta","Near Mint","English","","","2025-10-29 13:08:06.133000","24","False","False",""
"3","3","Agonizing Syphon","j25","Near Mint","English","","","2025-10-29 13:08:06.133000","396","False","False",""
"15","15","Ahriman","fin","Near Mint","English","","","2025-10-29 13:08:06.133000","87","False","False",""
"1","1","Ahriman","fin","Near Mint","English","foil","","2025-10-29 13:08:06.133000","87","False","False",""
"2","2","Aim for the Head","vow","Near Mint","English","","","2025-10-29 13:08:06.133000","92","False","False",""
"6","6","Aim High","inr","Near Mint","English","","","2025-10-29 13:08:06.133000","185","False","False",""
"1","1","Ainok Artillerist","dtk","Near Mint","English","","","2025-10-29 13:08:06.133000","171","False","False",""
"3","3","Ainok Bond-Kin","cmm","Near Mint","English","","","2025-10-29 13:08:06.133000","7","False","False",""
"1","1","Ainok Bond-Kin","mic","Near Mint","English","","","2025-10-29 13:08:06.133000","78","False","False",""
"2","2","Ainok Guide","j25","Near Mint","English","","","2025-10-29 13:08:06.133000","625","False","False",""
"1","1","Ainok Strike Leader","tdc","Near Mint","English","","","2025-10-29 13:08:06.133000","11","False","False",""
"1","1","Ainok Strike Leader","tdc","Near Mint","English","","","2025-10-29 13:08:06.133000","51","False","False",""
"1","1","Ainok Wayfarer","tdm","Near Mint","English","foil","","2025-10-29 13:08:06.133000","134","False","False",""
"7","7","Ainok Wayfarer","tdm","Near Mint","English","","","2025-10-29 13:08:06.133000","134","False","False",""
"1","1","Air Elemental","j25","Near Mint","English","","","2025-10-29 13:08:06.133000","284","False","False",""
"1","1","Air Marshal","bro","Near Mint","English","","","2025-10-29 13:08:06.133000","43","False","False",""
"2","2","Air Nomad Legacy","tla","Near Mint","English","","","2025-11-21 17:48:43.470000","206","False","False",""
"1","1","Air Response Unit","dft","Near Mint","English","","","2025-10-29 13:08:06.133000","292","False","False",""
"4","4","Air Response Unit","dft","Near Mint","English","","","2025-10-29 13:08:06.133000","1","False","False",""
"2","2","Air Response Unit","dft","Near Mint","English","foil","","2025-10-29 13:08:06.133000","1","False","False",""
"1","1","Airbender's Reversal","tla","Near Mint","English","","","2025-11-18 23:33:35.877000","7","False","False",""
